anio,trimestre,provincia,pesos,unidades
2017,3,Catamarca,23208053.24,768643
2017,3,Chaco,66682123.66,3866462
2017,3,Chubut,58570324.73,1540995
2017,3,Córdoba,352737749.06,16578978
2017,3,Corrientes,43777773.25,1311588
2017,3,Entre Ríos,73936569.07,2700342
2017,3,Formosa,30079846.58,1363223
2017,3,Jujuy,20319415.19,1264297
2017,3,La Pampa,27350526.96,2570785
2017,3,La Rioja,17882415.03,602573
2017,3,Mendoza,120027913.58,6165359
2017,3,Misiones,51451646.2,675022
2017,3,Neuquén,59354108.86,2214634
2017,3,Río Negro,75076827.65,1778988
2017,3,Salta,42916283.46,1356321
2017,3,San Juan,30501994.25,1784356
2017,3,San Luis,25388085.55,996282
2017,3,Santa Cruz,27580882.26,446378
2017,3,Santa Fe,333679027.02,10654470
2017,3,Santiago del Estero,36872519.36,2310792
2017,3,Tierra del Fuego,22315568.71,505709
2017,3,Tucumán,76331337.06,4224762
2017,4,Buenos Aires,1083543719.52,58015145
2017,4,CABA y GBA,3979411305.8,151551946
2017,4,Catamarca,23274775.17,723076
2017,4,Chaco,66364956.32,3921882
2017,4,Chubut,60741643.77,1826531
2017,4,Córdoba,336833306.56,15593171
2017,4,Corrientes,33871082.33,1179161
2017,4,Entre Ríos,72916244.21,2586952
2017,4,Formosa,27808304.21,1086562
2017,4,Jujuy,23036841,1431740
2017,4,La Pampa,27159917.75,1171287
2017,4,La Rioja,14723280.92,425917
2017,4,Mendoza,109824828.39,4513959
2017,4,Misiones,40860092.91,594773
2017,4,Neuquén,69955694.74,2330076
2017,4,Río Negro,73254653.59,2016416
2017,4,Salta,46794211.5,1767629
2017,4,San Juan,25183851.12,1490017
2017,4,San Luis,19440816.16,497842
2017,4,Santa Cruz,31858891.82,499495
2017,4,Santa Fe,335148113.54,9740615
2017,4,Santiago del Estero,36677447.35,2789994
2017,4,Tierra del Fuego,19080098.66,415127
2017,4,Tucumán,64682163.72,3549250
2018,1,Buenos Aires,1135620294.13,66543456
2018,1,CABA y GBA,4008293829.32,147675321
2018,1,Catamarca,20019470.87,714380
2018,1,Chaco,68817050.37,4051236
2018,1,Chubut,56713793.1,1573504
2018,1,Córdoba,432968026.23,16982603
2018,1,Corrientes,31831129.3,1172304
2018,1,Entre Ríos,77166916.85,2622859
2018,1,Formosa,27440369.41,1080862
2018,1,Jujuy,24630487.72,1503337
2018,1,La Pampa,30438649.09,1250891
2018,1,La Rioja,18788213.24,581155
2018,1,Mendoza,155746441.9,5875945
2018,1,Misiones,49046536.79,563106
2018,1,Neuquén,62458582.54,2777213
2018,1,Río Negro,52900966.07,1986306
2018,1,Salta,49111358.7,1744816
2018,1,San Juan,29186649.48,1692635
2018,1,San Luis,24937172.91,498407
2018,1,Santa Cruz,27381281.79,526186
2018,1,Santa Fe,357929505.76,10822399
2018,1,Santiago del Estero,40010941.89,2800461
2018,1,Tierra del Fuego,19029656.83,550806
2018,1,Tucumán,75247640.02,3567768
2018,2,Buenos Aires,1194519396.51,55133606
2018,2,CABA y GBA,4142707894.83,144886744
2018,2,Catamarca,23940196.87,696700
2018,2,Chaco,73941609.9,4012149
2018,2,Chubut,59877014.56,1381489
2018,2,Córdoba,374537358.5,17429201
2018,2,Corrientes,41034493.39,1237230
2018,2,Entre Ríos,95123979.61,2654511
2018,2,Formosa,30866044.5,947320
2018,2,Jujuy,33615255.71,1490417
2018,2,La Pampa,36599610.49,1210147
2018,2,La Rioja,19249426.64,402966
2018,2,Mendoza,155229605.52,7607283
2018,2,Misiones,56541360.47,658690
2018,2,Neuquén,70579129.09,2100157
2018,2,Rio Negro,57630899.57,1561230
2018,2,Salta,60564902.94,1652590
2018,2,San Juan,27826687.3,1433315
2018,2,San Luis,26145175,894701
2018,2,Santa Cruz,30190012.68,420543
2018,2,Santa Fe,376555183.15,11698740
2018,2,Santiago del Estero,46342609.61,2861141
2018,2,Tierra del Fuego,17276528.06,337259
2018,2,Tucumán,83016579.15,3752417
2018,3,Buenos Aires,1197931579.19,53520647
2018,3,CABA y GBA,4890625734.86,129764362
2018,3,Catamarca,24185278.51,629109
2018,3,Chaco,83211018.41,4145504
2018,3,Chubut,65376752.48,1203178
2018,3,Córdoba,357532951.79,14897240
2018,3,Corrientes,39845241.59,1155173
2018,3,Entre Ríos,100856953.43,2639346
2018,3,Formosa,32469321.72,990528
2018,3,Jujuy,33575362.81,1584487
2018,3,La Pampa,37071829.78,1189199
2018,3,La Rioja,26132816.07,672579
2018,3,Mendoza,169375961.01,7054530
2018,3,Misiones,61397700.96,634257
2018,3,Neuquén,72260094.63,2055502
2018,3,Rio Negro,61904361.12,1556135
2018,3,Salta,60726589.28,1884057
2018,3,San Juan,34852188.69,1670059
2018,3,San Luis,28448874.21,749923
2018,3,Santa Cruz,30380513.42,405582
2018,3,Santa Fe,388347377.13,10449315
2018,3,Santiago del Estero,50608926.02,2814496
2018,3,Tierra del Fuego,20085629.21,359411
2018,3,Tucumán,87876247.35,3709272
2018,4,Buenos Aires,1330179327.69,50649786
2018,4,CABA y GBA,4850915599.38,132621822
2018,4,Catamarca,26157465.54,583910
2018,4,Chaco,69620533.43,2807201
2018,4,Chubut,65892241.24,1104029
2018,4,Córdoba,431532345.1,13440007
2018,4,Corrientes,45411423.75,976421
2018,4,Entre Ríos,102026998.31,2303894
2018,4,Formosa,41267238.42,894639
2018,4,Jujuy,34760458.2,1339050
2018,4,La Pampa,38892882.74,2498952
2018,4,La Rioja,21526422.93,320137
2018,4,Mendoza,158549006.63,5677161
2018,4,Misiones,61179594.54,574717
2018,4,Neuquén,75654681.97,1867097
2018,4,Rio Negro,70020713.09,1458129
2018,4,Salta,59937660.6,1549585
2018,4,San Juan,35934440.09,1504343
2018,4,San Luis,32422599.2,1086424
2018,4,Santa Cruz,34899170.28,354245
2018,4,Santa Fe,430011375.48,10262532
2018,4,Santiago del Estero,48791637.76,2647171
2018,4,Tierra del Fuego,23336765.52,289508
2018,4,Tucumán,94624280.72,3622835
2019,1,Buenos Aires,1345187716.33,56854264
2019,1,CABA y GBA,5071941938.47,131807920
2019,1,Catamarca,26852680.45,610091
2019,1,Chaco,70798748.65,3250601
2019,1,Chubut,67019964.26,909440
2019,1,Córdoba,502446216.25,12787230
2019,1,Corrientes,45640352.29,934668
2019,1,Entre Ríos,106783917.05,2356452
2019,1,Formosa,43744750.75,1024305
2019,1,Jujuy,39530958.53,1436621
2019,1,La Pampa,42820328.32,1188038
2019,1,La Rioja,26427034.03,496159
2019,1,Mendoza,177922552.08,6840207
2019,1,Misiones,63407189.98,524647
2019,1,Neuquén,76335425.28,1814738
2019,1,Rio Negro,72377572.53,1436589
2019,1,Salta,65600429.05,1480371
2019,1,San Juan,37288337.19,1797668
2019,1,San Luis,30192544.72,920074
2019,1,Santa Cruz,35053218,1465797
2019,1,Santa Fe,437200374.2,10335562
2019,1,Santiago del Estero,49149860.85,2825191
2019,1,Tierra del Fuego,28380515.77,248592
2019,1,Tucumán,102643374.49,3757071
2019,2,Buenos Aires,1551136708.21,58805036
2019,2,CABA y GBA,5764017410.83,133934950
2019,2,Catamarca,29216596.35,538596
2019,2,Chaco,75601062.1,2966276
2019,2,Chubut,74439284.72,918624
2019,2,Córdoba,523527338.83,11462891
2019,2,Corrientes,53564153.49,897943
2019,2,Entre Ríos,120050911.51,2406715
2019,2,Formosa,71009497.91,1404632
2019,2,Jujuy,47336531.86,1337011
2019,2,La Pampa,47932999.54,1169005
2019,2,La Rioja,26944585.07,319620
2019,2,Mendoza,207368286.72,6633901
2019,2,Misiones,74560925.04,647572
2019,2,Neuquén,89224294.78,1899949
2019,2,Rio Negro,84414418.49,1364749
2019,2,Salta,77909991.3,1482549
2019,2,San Juan,36757528.41,1554252
2019,2,San Luis,33643571.8,906925
2019,2,Santa Cruz,38872320.77,269746
2019,2,Santa Fe,486462101.92,9530947
2019,2,Santiago del Estero,68015172.05,2853764
2019,2,Tierra del Fuego,23484277.47,205655
2019,2,Tucumán,129520633.09,3938569
2019,3,Buenos Aires,2101007731.67,58486139
2019,3,CABA y GBA,6386810214.93,148455168
2019,3,Catamarca,28722041.68,616134
2019,3,Chaco,116178982.67,3434803
2019,3,Chubut,77746605.87,925720
2019,3,Córdoba,561450590.71,13002408
2019,3,Corrientes,60948475.78,830489
2019,3,Entre Ríos,136890476.18,2713103
2019,3,Formosa,61585145.11,1080524
2019,3,Jujuy,47880350.24,1325447
2019,3,La Pampa,52522450.6,1124252
2019,3,La Rioja,28967318.89,309804
2019,3,Mendoza,220491779.82,7598012
2019,3,Misiones,83570352.56,657325
2019,3,Neuquén,97451277.64,1918158
2019,3,Rio Negro,94164466.05,1380431
2019,3,Salta,106346708.86,2073956
2019,3,San Juan,39108972.45,1502679
2019,3,San Luis,35479988.09,2060126
2019,3,Santa Cruz,40129105.22,261278
2019,3,Santa Fe,552976275.38,9073329
2019,3,Santiago del Estero,65098558.73,2453975
2019,3,Tierra del Fuego,25208932.98,191907
2019,3,Tucumán,138887023.26,3847414
2019,4,Buenos Aires,1816269198.74,61424650
2019,4,CABA y GBA,6831564482.52,134742191
2019,4,Catamarca,32083550.96,531723
2019,4,Chaco,116804186.41,3551015
2019,4,Chubut,102437674.66,845744
2019,4,Córdoba,615355794.85,12471908
2019,4,Corrientes,66154634.41,665657
2019,4,Entre Ríos,154500453.9,2613223
2019,4,Formosa,51206153.31,805069
2019,4,Jujuy,54038545.12,1387884
2019,4,La Pampa,59617675.72,1103522
2019,4,La Rioja,34653083.76,302423
2019,4,Mendoza,256395466.55,7449499
2019,4,Misiones,92108728.74,581211
2019,4,Neuquén,133526179.31,1863072
2019,4,Rio Negro,169412602.45,1688334
2019,4,Salta,96559226.83,1454881
2019,4,San Juan,44069265.36,1398362
2019,4,San Luis,56103635.21,871431
2019,4,Santa Cruz,57300263.38,274761
2019,4,Santa Fe,604585895.14,9532240
2019,4,Santiago del Estero,83859381.15,2756158
2019,4,Tierra del Fuego,26111394.58,172094
2019,4,Tucumán,154559381.56,3899655
2020,1,Buenos Aires,1673145774.01,50762381
2020,1,CABA y GBA,7075405747.75,118251035
2020,1,Catamarca,31561894.53,495441
2020,1,Chaco,94964648.9,3100282
2020,1,Chubut,97386815.27,1325968
2020,1,Córdoba,624202200.6,14713087
2020,1,Corrientes,67164280.18,772451
2020,1,Entre Ríos,153518097.15,2331018
2020,1,Formosa,48940316.42,2422983
2020,1,Jujuy,52215586.2,1385975
2020,1,La Pampa,58869474.91,780215
2020,1,La Rioja,34262099.03,1316614
2020,1,Mendoza,244555902.31,11800144
2020,1,Misiones,87277406.36,500413
2020,1,Neuquén,120558880.32,1572584
2020,1,Rio Negro,126739028.36,1139491
2020,1,Salta,91638828.79,1629029
2020,1,San Juan,47466068.94,1192946
2020,1,San Luis,51957993.99,600797
2020,1,Santa Cruz,50355130.49,522887
2020,1,Santa Fe,582668438.77,7686554
2020,1,Santiago del Estero,64053629,2338854
2020,1,Tierra del Fuego,23163050.47,139238
2020,1,Tucumán,143466148.9,3694771
2020,2,Buenos Aires,2108906300.8,50655716
2020,2,CABA y GBA,7484276008.45,108377849
2020,2,Catamarca,30404841.57,429758
2020,2,Chaco,117231717.05,3234728
2020,2,Chubut,75546184.81,597766
2020,2,Córdoba,540452801.39,7062384
2020,2,Corrientes,71055621.41,533732
2020,2,Entre Ríos,154915178.85,2326467
2020,2,Formosa,41716072.55,2384662
2020,2,Jujuy,46871740.74,1205545
2020,2,La Pampa,52505815.41,856982
2020,2,La Rioja,31043464.09,236516
2020,2,Mendoza,294395221.85,8483470
2020,2,Misiones,63810317.83,342382
2020,2,Neuquén,109920043.03,1391662
2020,2,Rio Negro,116046483.94,1017574
2020,2,Salta,93846399.23,1346904
2020,2,San Juan,46489032.1,1154000
2020,2,San Luis,53528142.45,657319
2020,2,Santa Cruz,39242906.09,160078
2020,2,Santa Fe,671373615.57,7148226
2020,2,Santiago del Estero,71002600.39,2619307
2020,2,Tierra del Fuego,21363217.33,104353
2020,2,Tucumán,135034627.16,2715481
2020,3,Buenos Aires,2855936270.47,47694528
2020,3,CABA y GBA,9473108997.75,98340107
2020,3,Catamarca,60752487.23,586665
2020,3,Chaco,182053622.59,1783909
2020,3,Chubut,135666064.28,813334
2020,3,Córdoba,876134661.61,13470271
2020,3,Corrientes,136228165.46,866233
2020,3,Entre Ríos,224268362.2,3011251
2020,3,Formosa,43072596.27,1980278
2020,3,Jujuy,75978234.43,1497996
2020,3,La Pampa,80920876.3,1049860
2020,3,La Rioja,49491619.66,437914
2020,3,Mendoza,368947327.48,6066487
2020,3,Misiones,146477116.45,771163
2020,3,Neuquén,169091959.67,1499799
2020,3,Rio Negro,200408086.58,1043102
2020,3,Salta,184802719.08,1776786
2020,3,San Juan,75026194.34,1349053
2020,3,San Luis,93673628.91,503283
2020,3,Santa Cruz,67914702.86,336928
2020,3,Santa Fe,967929655.82,7439545
2020,3,Santiago del Estero,135936071.77,3235198
2020,3,Tierra del Fuego,29590666.45,139549
2020,3,Tucumán,225943764.36,3569827
2020,4,Buenos Aires,2424810124.62,45548433
2020,4,CABA y GBA,10278871149.66,95030713
2020,4,Catamarca,49244661.05,405331
2020,4,Chaco,162565045.28,3464150
2020,4,Chubut,135252595.6,856791
2020,4,Córdoba,635559127.67,4729264
2020,4,Corrientes,144831649.49,894067
2020,4,Entre Ríos,209876755.56,3001526
2020,4,Formosa,75129478.35,956137
2020,4,Jujuy,69691819.69,3440746
2020,4,La Pampa,94502546.72,1073350
2020,4,La Rioja,42424217.78,312213
2020,4,Mendoza,327332999.53,8178316
2020,4,Misiones,166075249.98,817659
2020,4,Neuquén,155190738.46,1657713
2020,4,Rio Negro,171118190.84,973596
2020,4,Salta,196120287,1710592
2020,4,San Juan,66251136.25,1225741
2020,4,San Luis,111221307.24,518894
2020,4,Santa Cruz,78872569.16,366962
2020,4,Santa Fe,870331008.73,7271012
2020,4,Santiago del Estero,120162112.58,2759402
2020,4,Tierra del Fuego,30318009.33,179963
2020,4,Tucumán,191542218.97,3319214
2021,1,Buenos Aires,2518504014.63,50579464
2021,1,CABA y GBA,9931831131.34,96740434
2021,1,Catamarca,42245508.56,390993
2021,1,Chaco,155649032.52,3657975
2021,1,Chubut,146051018.56,883886
2021,1,Córdoba,613811152.22,4886094
2021,1,Corrientes,152121851.79,902371
2021,1,Entre Ríos,217246024.09,2858418
2021,1,Formosa,71366227.1,769376
2021,1,Jujuy,66075018.13,3538458
2021,1,La Pampa,99302036.91,1139227
2021,1,La Rioja,32685936.57,262951
2021,1,Mendoza,295850510.87,9396469
2021,1,Misiones,177902461.8,811214
2021,1,Neuquén,167900570.31,1702917
2021,1,Rio Negro,181885256.4,1010267
2021,1,Salta,184807272.53,1689482
2021,1,San Juan,64183139.33,1196348
2021,1,San Luis,104456853.73,473901
2021,1,Santa Cruz,72097534.39,305524
2021,1,Santa Fe,892266986.74,7941562
2021,1,Santiago del Estero,100413912.81,2337004
2021,1,Tierra del Fuego,29809589.68,145825
2021,1,Tucumán,184749416.69,3109106
2021,2,Buenos Aires,2957855557.17,51652676
2021,2,CABA y GBA,12194321007.79,94885413
2021,2,Catamarca,37226200.49,345146
2021,2,Chaco,191186129.06,1588159
2021,2,Chubut,167507987.95,845125
2021,2,Córdoba,701011096.41,4624745
2021,2,Corrientes,290875217.41,1326449
2021,2,Entre Ríos,341727133.84,3205494
2021,2,Formosa,59942367.75,641025
2021,2,Jujuy,92874603.5,1171569
2021,2,La Pampa,104061383.74,1079229
2021,2,La Rioja,44735156.37,272969
2021,2,Mendoza,377136211,9181529
2021,2,Misiones,153819905.89,676072
2021,2,Neuquén,232800624.13,1764570
2021,2,Rio Negro,244112293.58,982175
2021,2,Salta,171298309.41,1571900
2021,2,San Juan,66220013.49,1239870
2021,2,San Luis,235469439.28,820935
2021,2,Santa Cruz,79546349.8,287515
2021,2,Santa Fe,1015532354.57,7458403
2021,2,Santiago del Estero,148716958.56,2994719
2021,2,Tierra del Fuego,37998354.19,157880
2021,2,Tucumán,198961811.35,2443978
2021,3,Buenos Aires,3303560012.44,52184251
2021,3,CABA y GBA,11702242235.73,94238623
2021,3,Catamarca,60382023.55,362660
2021,3,Chaco,218172026.07,1479494
2021,3,Chubut,273634824.62,977508
2021,3,Córdoba,780283926.01,4285880
2021,3,Corrientes,285960621.47,1039169
2021,3,Entre Ríos,506654260.12,3414144
2021,3,Formosa,83072148,770876
2021,3,Jujuy,126600377.82,1191190
2021,3,La Pampa,161140779.61,1085778
2021,3,La Rioja,47021784.26,250327
2021,3,Mendoza,309511696.72,9151619
2021,3,Misiones,424242936.81,1233485
2021,3,Neuquén,335420995.3,1887595
2021,3,Rio Negro,232035816.55,931573
2021,3,Salta,172485718.19,1485320
2021,3,San Juan,106892702.72,1270940
2021,3,San Luis,312605980.03,930919
2021,3,Santa Cruz,108698138.01,298409
2021,3,Santa Fe,1380272417.12,7523733
2021,3,Santiago del Estero,356386396.05,3246078
2021,3,Tierra del Fuego,73375592.72,211213
2021,3,Tucumán,350207440.23,2617651
2021,4,Buenos Aires,4476472023,49686553
2021,4,CABA y GBA,14384940130,89092966
2021,4,Catamarca,65733115.52,412358
2021,4,Chaco,246606708.51,1452722
2021,4,Chubut,224758516.18,821208
2021,4,Córdoba,1024916190.81,8800353
2021,4,Corrientes,292932268.9,1004795
2021,4,Entre Ríos,422928689.93,2620974
2021,4,Formosa,86855543.21,643348
2021,4,Jujuy,188187503.71,1394123
2021,4,La Pampa,149379087.44,1006807
2021,4,La Rioja,60130178.84,239479
2021,4,Mendoza,350699625.62,6715993
