anio,trimestre,provincia,tv_suscripcion_100habitantes,tv_suscripcion_100hogares
2018,2,Corrientes,9.12,34.64
2018,2,Entre Ríos,15.54,51.97
2018,2,Formosa,8.75,34.39
2018,2,Jujuy,11.94,46.68
2018,2,La Pampa,23.44,71.15
2018,2,La Rioja,5.97,22.44
2018,2,Mendoza,4.58,16.4
2018,2,Misiones,10.95,40.22
2018,2,Neuquén,12.19,40.96
2018,2,Río Negro,12.05,39.17
2018,2,Salta,12.19,50.31
2018,2,San Juan,6.27,24.63
2018,2,San Luis,11.56,40.4
2018,2,Santa Cruz,15.38,51.68
2018,2,Santa Fe,17.69,56.25
2018,2,Santiago Del Estero,10.07,40.56
2018,2,Tierra Del Fuego,24.97,84.2
2018,2,Tucumán,7.2,29.07
2018,3,Buenos Aires,15.66,48.16
2018,3,CABA,24.62,58.84
2018,3,Catamarca,20.35,80
2018,3,Chaco,8.39,31.38
2018,3,Chubut,14.97,48.85
2018,3,Córdoba,29.19,95.33
2018,3,Corrientes,9.18,34.85
2018,3,Entre Ríos,15.19,50.81
2018,3,Formosa,10.05,39.48
2018,3,Jujuy,12.15,47.51
2018,3,La Pampa,23.59,71.61
2018,3,La Rioja,6.25,23.49
2018,3,Mendoza,6.02,21.56
2018,3,Misiones,10.95,40.22
2018,3,Neuquén,12.4,41.66
2018,3,Río Negro,13.04,42.4
2018,3,Salta,12.65,52.22
2018,3,San Juan,5.89,23.1
2018,3,San Luis,11.13,38.9
2018,3,Santa Cruz,16.26,54.66
2018,3,Santa Fe,18.09,57.53
2018,3,Santiago Del Estero,11.34,45.7
2018,3,Tierra Del Fuego,27.95,94.26
2018,3,Tucumán,7.59,30.64
2018,4,Buenos Aires,15.47,47.45
2018,4,CABA,24.46,58.54
2018,4,Catamarca,8.19,32.19
2018,4,Chaco,8.43,31.54
2018,4,Chubut,15.03,49.04
2018,4,Córdoba,28.56,93.29
2018,4,Corrientes,9.25,35.13
2018,4,Entre Ríos,15.25,51
2018,4,Formosa,9.86,38.73
2018,4,Jujuy,13.03,50.96
2018,4,La Pampa,23.02,69.86
2018,4,La Rioja,6.45,24.21
2018,4,Mendoza,6,21.48
2018,4,Misiones,11.12,40.84
2018,4,Neuquén,12.3,41.33
2018,4,Río Negro,12.46,40.5
2018,4,Salta,12.67,52.3
2018,4,San Juan,5.68,22.29
2018,4,San Luis,11.07,38.7
2018,4,Santa Cruz,16.21,54.46
2018,4,Santa Fe,17.15,54.55
2018,4,Santiago Del Estero,10.93,44.06
2018,4,Tierra Del Fuego,27.7,93.44
2018,4,Tucumán,7.54,30.44
2019,1,Buenos Aires,15.52,47.51
2019,1,CABA,25.7,61.57
2019,1,Catamarca,8.07,31.71
2019,1,Chaco,9.01,33.71
2019,1,Chubut,14.98,48.87
2019,1,Córdoba,28.5,93.09
2019,1,Corrientes,9.15,34.75
2019,1,Entre Ríos,15.36,51.36
2019,1,Formosa,9.48,37.24
2019,1,Jujuy,11.57,45.25
2019,1,La Pampa,22.95,69.67
2019,1,La Rioja,6.71,25.19
2019,1,Mendoza,7.16,25.65
2019,1,Misiones,11.07,40.64
2019,1,Neuquén,12.26,41.2
2019,1,Río Negro,12.26,39.87
2019,1,Salta,12.48,51.51
2019,1,San Juan,5.72,22.47
2019,1,San Luis,10.71,37.44
2019,1,Santa Cruz,16.07,54.01
2019,1,Santa Fe,17.14,54.52
2019,1,Santiago Del Estero,11.32,45.61
2019,1,Tierra Del Fuego,27.33,92.18
2019,1,Tucumán,7.11,28.71
2019,2,Buenos Aires,15.48,47.28
2019,2,CABA,26.39,63.29
2019,2,Catamarca,8.04,31.61
2019,2,Chaco,9.11,34.08
2019,2,Chubut,14.42,47.05
2019,2,Córdoba,28.6,93.42
2019,2,Corrientes,9.76,37.08
2019,2,Entre Ríos,15.42,51.58
2019,2,Formosa,10.19,40.03
2019,2,Jujuy,11.62,45.46
2019,2,La Pampa,23.4,71.03
2019,2,La Rioja,6.67,25.07
2019,2,Mendoza,7.1,25.43
2019,2,Misiones,11.35,41.68
2019,2,Neuquén,12.09,40.62
2019,2,Río Negro,14.75,47.94
2019,2,Salta,13.2,54.51
2019,2,San Juan,5.61,22.04
2019,2,San Luis,10.68,37.32
2019,2,Santa Cruz,14.76,49.61
2019,2,Santa Fe,17.2,54.69
2019,2,Santiago Del Estero,11.26,45.38
2019,2,Tierra Del Fuego,27.13,91.52
2019,2,Tucumán,7.02,28.35
2019,3,Buenos Aires,15.74,47.95
2019,3,CABA,28.07,67.41
2019,3,Catamarca,9.9,38.92
2019,3,Chaco,9.34,34.93
2019,3,Chubut,11.52,37.57
2019,3,Córdoba,29.61,96.72
2019,3,Corrientes,9.8,37.21
2019,3,Entre Ríos,15.73,52.61
2019,3,Formosa,9.83,38.61
2019,3,Jujuy,11.97,46.81
2019,3,La Pampa,23.21,70.43
2019,3,La Rioja,5.16,19.39
2019,3,Mendoza,5.27,18.87
2019,3,Misiones,11.48,42.16
2019,3,Neuquén,11.78,39.58
2019,3,Río Negro,15.07,49
2019,3,Salta,13.37,55.2
2019,3,San Juan,3.98,15.61
2019,3,San Luis,9.85,34.42
2019,3,Santa Cruz,13.42,45.11
2019,3,Santa Fe,18.66,59.34
2019,3,Santiago Del Estero,9.24,37.25
2019,3,Tierra Del Fuego,25.23,85.1
2019,3,Tucumán,6.55,26.44
2019,4,Buenos Aires,16.19,49.23
2019,4,CABA,29.17,70.13
2019,4,Catamarca,9.93,39.03
2019,4,Chaco,9.55,35.71
2019,4,Chubut,11.4,37.2
2019,4,Córdoba,29.79,97.3
2019,4,Corrientes,9.84,37.38
2019,4,Entre Ríos,15.99,53.48
2019,4,Formosa,9.82,38.59
2019,4,Jujuy,12.42,48.55
2019,4,La Pampa,22.72,68.97
2019,4,La Rioja,4.86,18.26
2019,4,Mendoza,5.17,18.54
2019,4,Misiones,11.53,42.32
2019,4,Neuquén,11.65,39.15
2019,4,Río Negro,14.9,48.46
2019,4,Salta,13.38,55.23
2019,4,San Juan,3.8,14.93
2019,4,San Luis,9.6,33.53
2019,4,Santa Cruz,13.31,44.72
2019,4,Santa Fe,18.69,59.45
2019,4,Santiago Del Estero,9.24,37.24
2019,4,Tierra Del Fuego,24.32,82.03
2019,4,Tucumán,6.74,27.21
