anio,trimestre,provincia,accesos_100_hab,accesos_100_hog
2017,3,Santiago del Estero,6.97,28.1
2017,3,Tierra del Fuego,24.69,83.27
2017,3,Tucumán,13.08,52.81
2017,4,Buenos Aires,28.86,90.08
2017,4,CABA,52.87,125.25
2017,4,Catamarca,9.61,37.79
2017,4,Chaco,8.79,32.9
2017,4,Chubut,21.07,68.73
2017,4,Córdoba,19.44,63.5
2017,4,Corrientes,9.41,35.72
2017,4,Entre Ríos,16.65,55.69
2017,4,Formosa,7.01,27.54
2017,4,Jujuy,7.62,29.81
2017,4,La Pampa,23.99,72.81
2017,4,La Rioja,10.07,37.83
2017,4,Mendoza,19.89,71.28
2017,4,Misiones,9.52,34.94
2017,4,Neuquén,16.1,54.08
2017,4,Río Negro,20.42,66.39
2017,4,Salta,10.25,42.32
2017,4,San Juan,15.19,59.65
2017,4,San Luis,11.08,38.72
2017,4,Santa Cruz,14.17,47.62
2017,4,Santa Fe,21.61,68.73
2017,4,Santiago del Estero,6.84,27.57
2017,4,Tierra del Fuego,24.61,83.01
2017,4,Tucumán,13.04,52.65
2018,1,Buenos Aires,25.89,79.97
2018,1,CABA,56.48,134.65
2018,1,Catamarca,9.43,37.07
2018,1,Chaco,8.42,31.5
2018,1,Chubut,19.16,62.5
2018,1,Córdoba,18.85,61.55
2018,1,Corrientes,9.07,34.44
2018,1,Entre Ríos,15.9,53.19
2018,1,Formosa,6.76,26.56
2018,1,Jujuy,7.23,28.27
2018,1,La Pampa,21.42,65.02
2018,1,La Rioja,9.43,35.43
2018,1,Mendoza,18.56,66.49
2018,1,Misiones,8.42,30.9
2018,1,Neuquén,15.1,50.72
2018,1,Río Negro,19.28,62.69
2018,1,Salta,9.7,40.03
2018,1,San Juan,15.12,59.37
2018,1,San Luis,8.98,31.38
2018,1,Santa Cruz,12.83,43.11
2018,1,Santa Fe,19.84,63.11
2018,1,Santiago del Estero,5.98,24.11
2018,1,Tierra del Fuego,20.41,68.83
2018,1,Tucumán,13.03,52.62
2018,2,Buenos Aires,26.06,80.31
2018,2,CABA,56.81,135.61
2018,2,Catamarca,9.36,36.78
2018,2,Chaco,8.31,31.08
2018,2,Chubut,19.58,63.88
2018,2,Córdoba,18.58,60.68
2018,2,Corrientes,9,34.17
2018,2,Entre Ríos,15.72,52.57
2018,2,Formosa,6.68,26.25
2018,2,Jujuy,7.12,27.85
2018,2,La Pampa,21.5,65.25
2018,2,La Rioja,9.19,34.51
2018,2,Mendoza,18.51,66.32
2018,2,Misiones,8.77,32.21
2018,2,Neuquén,15.04,50.51
2018,2,Río Negro,19.21,62.45
2018,2,Salta,9.51,39.27
2018,2,San Juan,15.08,59.21
2018,2,San Luis,8.95,31.28
2018,2,Santa Cruz,12.76,42.88
2018,2,Santa Fe,19.7,62.64
2018,2,Santiago del Estero,5.77,23.23
2018,2,Tierra del Fuego,20.28,68.38
2018,2,Tucumán,12.97,52.34
2018,3,Buenos Aires,26.08,80.19
2018,3,CABA,57.86,138.28
2018,3,Catamarca,9.27,36.43
2018,3,Chaco,7.75,28.99
2018,3,Chubut,19.49,63.59
2018,3,Córdoba,18.28,59.71
2018,3,Corrientes,8.6,32.65
2018,3,Entre Ríos,14.69,49.14
2018,3,Formosa,6.61,25.98
2018,3,Jujuy,7.02,27.47
2018,3,La Pampa,21.45,65.11
2018,3,La Rioja,9,33.79
2018,3,Mendoza,18.46,66.15
2018,3,Misiones,8.41,30.87
2018,3,Neuquén,14.98,50.34
2018,3,Río Negro,19.14,62.22
2018,3,Salta,9.31,38.45
